model,epoch,loss,val_ndcg20,val_logloss
TwoTower,1,5.623682524391829,0.010667223844727874,
TwoTower,2,5.49109325412003,0.0065172716314090854,
TwoTower,3,5.468903042181928,0.004806425648446057,
TwoTower,4,5.430699509491526,0.013410209480042205,
TwoTower,5,5.35704757623559,0.006574397558131595,
TwoTower,6,5.218762210650857,0.006357768858943749,
TwoTower,7,4.989532359200837,0.02334014427445447,
TwoTower,8,4.704673706047325,0.028055730434535714,
TwoTower,9,4.43573645289284,0.022092173532890013,
TwoTower,10,4.229612137811979,0.020929359789405334,
TwoTower,11,4.107077376870873,0.022637188739826834,
TwoTower,12,4.009855061721557,0.019850666610240424,
TwoTower_no_positive_mask,1,5.655799106218762,0.009719661767134097,
TwoTower_no_positive_mask,2,5.524334409375711,0.006379072640036634,
TwoTower_no_positive_mask,3,5.504825402931908,0.005379683870961376,
TwoTower_no_positive_mask,4,5.473493566694041,0.014887150906889595,
TwoTower_no_positive_mask,5,5.418498858718406,0.007232631967055799,
TwoTower_no_positive_mask,6,5.323621772270411,0.005714926736304983,
TwoTower_no_positive_mask,7,5.165693489674703,0.01853517378239437,
TwoTower_no_positive_mask,8,4.948175201004975,0.014761996556008477,
TwoTower_no_positive_mask,9,4.703613232477335,0.015259558128679924,
TwoTower_no_positive_mask,10,4.476365104447074,0.016858916630963762,
TwoTower_no_positive_mask,11,4.332478185526694,0.01821683578041309,
TwoTower_no_positive_mask,12,4.239668297207827,0.011437846819216228,
DeepFM,1,2.079045205064125,,0.6918706810094268
DeepFM,2,1.314319326402904,,0.6376207228142211
DeepFM,3,1.0459304796993714,,0.5781477758167741
DeepFM,4,0.8579610714999837,,0.6122144111054403
DeepFM,5,0.7155278839724514,,0.5675774333154475
DeepFM,6,0.6042855537601053,,0.42486235140873657
DeepFM,7,0.5159032468015107,,0.42514595799634464
DeepFM,8,0.4448321704275549,,0.5046182978982376
FM_no_deep,1,2.896480790025055,,1.6284385173416016
FM_no_deep,2,1.748982805007905,,1.0123176447324547
FM_no_deep,3,1.3349579164705003,,0.812943130774343
FM_no_deep,4,1.0935694178725102,,0.7303369152465556
FM_no_deep,5,0.9174914375537075,,0.6869140052465574
FM_no_deep,6,0.7785325598202936,,0.6523698593456074
FM_no_deep,7,0.6648554699641019,,0.6303230232805378
FM_no_deep,8,0.5701897227254163,,0.60322255548005
