model,Recall@10,HitRate@10,NDCG@10,Coverage@10,MeanPopularity@10,Recall@20,HitRate@20,NDCG@20,Coverage@20,MeanPopularity@20,users,AUC,LogLoss,samples,positive_rate
Popularity,0.023333333333333334,0.03333333333333333,0.01198481926363351,0.016260162601626018,91.33399963378906,0.04555555555555555,0.07333333333333333,0.01818325445101294,0.028455284552845527,74.05766296386719,150.0,,,,
ItemCF,0.07777777777777778,0.10666666666666667,0.046083324504796255,0.4695121951219512,24.691999435424805,0.17083333333333334,0.23333333333333334,0.072189642121024,0.6697154471544715,23.111665725708008,150.0,,,,
TwoTower,0.013555555555555555,0.02666666666666667,0.006093123141142914,0.6697154471544715,12.769332885742188,0.04855555555555555,0.06666666666666667,0.01506116549185921,0.8699186991869918,12.71833324432373,150.0,,,,
TwoTower_no_positive_mask,0.035,0.04666666666666667,0.017499131542980922,0.6341463414634146,12.188666343688965,0.056333333333333326,0.08,0.023284330752217378,0.8333333333333334,12.099666595458984,150.0,,,,
DeepFM,,,,,,,,,,,,0.5262460140153903,0.4728987153687896,23000.0,0.009999999776482582
FM_no_deep,,,,,,,,,,,,0.5237509308586813,0.6592446202212542,23000.0,0.009999999776482582
TwoTower_FAISS_DeepFM,0.05,0.06666666666666667,0.024419795869391102,0.5904471544715447,22.70133399963379,0.06305555555555555,0.09333333333333334,0.028434980283169185,0.7997967479674797,19.547666549682617,150.0,,,,
